"Taxon"	"BCD1"	"BCD2"	"BCP1"	"BCP2"	"BD1"	"BD4"	"BP1"	"BP4"	"CD1"	"CD2"	"CD3"	"CD4"	"CD5"	"CD8"	"CP1"	"CP2"	"CP3"	"CP4"	"CP5"	"CP8"
"Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIV;Blautia"	0.0001254076	0	"4.97190871576e-05"	0	0	0	0	0	0.0004246886	0.0008372626	0.0020304569	0.000748328	0.000570532	0.0004810846	0.0003432887	0.0002081079	0.0002348061	0.0010186757	0.0007305788	0.0001113007
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerosporobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1.71644352901e-05"	0	0	0	0	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus"	0	0	0	0	0	0	0	0	"3.53907134768e-05"	"8.81329044199e-05"	"5.34330750735e-05"	0	0	0	0.000274631	0	"7.82686964349e-05"	"8.48896434635e-05"	"8.11754200828e-05"	"7.42004897232e-05"
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea"	0.0052671181	0.009009009	0.0090488739	0.0263157895	0.0089686099	0.0098522167	0	0	0.0049900906	0.0018948574	0.0029388191	0.0173518545	0.0094137783	0.0026678329	0.0150532097	0.0055356697	0.0086095566	0.0082342954	0.0107151555	0.0051198338
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia"	0	0	0	0	0	0	0	0	"3.53907134768e-05"	0	0	"9.35409943408e-05"	0	0	0	0	0	0.0004244482	0	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella"	0	0	0.0001491573	0.0023923445	0.0044843049	0	0.0061728395	0.0080645161	0	0.0001762658	0	"9.35409943408e-05"	0.000142633	0.0002624098	"3.43288705802e-05"	0.0001248647	0	0.0002546689	0	0.0017808118
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia"	0.0010032606	0	0.0010441008	0.0023923445	0	0	0	0	0.0041053228	"4.40664522099e-05"	0.0008014961	0.0020345166	0.001283697	0.0002624098	0.0062993478	0.0003329726	0.0019175831	0.001910017	0.0022729118	0.0009275061
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Other"	0.0897918234	0.1831831832	0.2160791528	0.2153110048	0.2466367713	0.236453202	0.1543209877	0.1290322581	0.0823541903	0.0804653417	0.1009885119	0.2537533324	0.2720011411	0.0712005248	0.2906453828	0.5519021061	0.4703948656	0.3411714771	0.3594447601	0.3740446687
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Parasporobacterium"	0	0	0	0	0	0	0	0	"3.53907134768e-05"	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella"	0.0001254076	0.006006006	0.000596629	0.009569378	0.0089686099	0	0	0	"7.07814269536e-05"	0	"5.34330750735e-05"	0	0.000427899	0.0001312049	0.0002574665	"8.32431532506e-05"	0.0001956717	0	0.0005682279	0.0002597017
